type,role,sendMsgFile,Send,Recv,HandshakeCPUTime,CommCPUTime
continuity,client,resources/plain.1KB.txt,1024,1024,215613177,101744673
continuity,server,resources/plain.1KB.txt,1024,1024,233667985,86269356
continuity,client,resources/plain.1KB.txt,1024,1024,233362255,94246244
continuity,server,resources/plain.1KB.txt,1024,1024,301237423,83902464
continuity,client,resources/plain.1KB.txt,1024,1024,300996283,91882892
continuity,server,resources/plain.1KB.txt,1024,1024,291767543,86792758
continuity,client,resources/plain.1KB.txt,1024,1024,291519963,95061656
continuity,server,resources/plain.1KB.txt,1024,1024,246527718,88993810
continuity,client,resources/plain.1KB.txt,1024,1024,246221877,99271180
continuity,server,resources/plain.1KB.txt,1024,1024,341254153,91408252
continuity,client,resources/plain.1KB.txt,1024,1024,341060843,101992532
continuity,server,resources/plain.1KB.txt,1024,1024,213135554,85249156
continuity,client,resources/plain.1KB.txt,1024,1024,212865614,93671654
continuity,server,resources/plain.1KB.txt,1024,1024,194951746,88298149
continuity,client,resources/plain.1KB.txt,1024,1024,194704026,97496168
continuity,server,resources/plain.1KB.txt,1024,1024,273720905,94503855
continuity,client,resources/plain.1KB.txt,1024,1024,273474625,105136116
continuity,server,resources/plain.1KB.txt,1024,1024,229624761,98401289
continuity,client,resources/plain.1KB.txt,1024,1024,229656511,110165471
continuity,server,resources/plain.1KB.txt,1024,1024,235030127,85999346
continuity,client,resources/plain.1KB.txt,1024,1024,234736757,93960934
continuity,server,resources/plain.1KB.txt,1024,1024,222877534,97719809
continuity,client,resources/plain.1KB.txt,1024,1024,222615444,107659478
continuity,server,resources/plain.1KB.txt,1024,1024,255315537,89276340
continuity,client,resources/plain.1KB.txt,1024,1024,254987666,104479435
continuity,server,resources/plain.1KB.txt,1024,1024,216029847,89180420
continuity,client,resources/plain.1KB.txt,1024,1024,215870607,97355788
continuity,server,resources/plain.1KB.txt,1024,1024,254374636,104738276
continuity,client,resources/plain.1KB.txt,1024,1024,254070806,116001987
continuity,server,resources/plain.1KB.txt,1024,1024,258158259,81149722
