type,role,sendMsgFile,handshake1_len,handshake2_len,c2sCipher,c2sPlain,s2cCipher,s2cPlain,handshakeCPUTime,commCPUTime
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124617355,13459084
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121470502,6712577
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124740135,16391657
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,144471135,9729180
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,149471091,27535467
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127981658,10571631
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135060986,14348874
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,131021022,8711738
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,136320187,17722258
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,124155685,6720007
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,127945159,14132945
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120506031,6629107
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,123911744,17068997
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,113514884,6551906
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,117229478,13634693
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129227270,8744449
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,134654155,18069839
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,129796040,6850537
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133719705,13907953
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126488457,10525261
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,133711495,14021214
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,130277751,10505310
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,137231108,14189765
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122626694,6546347
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125997537,14225065
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121620312,6589106
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125262426,14748375
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,119052060,6769437
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122674423,13812474
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121739522,8319339
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126763778,14056304
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,120661732,8413688
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125860287,14021324
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,135009936,6480947
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138385119,18520329
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,122746104,7160856
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,126181727,18542539
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,121540102,6742767
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,125310406,13660103
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,141755632,15079275
xnoise,client,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,152515013,18422178
xnoise,server,resources/plain.1KB.txt,49,49,1040,1024,1040,1024,138881760,6614317
